FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_PRICE,FANGJIA_URL
唐延路与群贤路向东200米,高新尊寓,20000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_gxzyabekz/#around
子午大道与神禾二路十字向东400米,恒大养生谷,16200 元/平(均价),http://xa.fang.lianjia.com/loupan/p_hdysgacfkw/#around
大庆西路81号（汉城路十字向西，原大世界游乐场旁）,亿润锦悦汇,18000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_yrlcaaimb/#around
南二环东段武警医院西侧铁一中北门,天伦御城龙脉,15000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_tlyclmaaswu/#around
书香路与西长安街十字东北角(西安邮电大学正对面),万科城如园,13000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wkcryaftdg/#around
唐延路与群贤路向东200米,高新尊寓,20000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_gxzyabekz/#around
南二环与群贤路交汇处向南300米,群贤道九號,21000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_qxdjaaima/#around
东三环以西、长乐路以北,御锦城智慧树,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_yjczhsbiduw/#around
东北二环交汇处红星美凯龙北侧200米,绿地香树花城,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_ldxshckaahnl/#around
丈八北路与科技六路十字东南角,保利爱尚里,14857 元/平(均价),http://xa.fang.lianjia.com/loupan/p_blaslaavjn/#around
电子四路与太白南路交汇处东北角,翼中心,23690 元/平(均价),http://xa.fang.lianjia.com/loupan/p_yzxaften/#around
南二环与群贤路交汇处向南300米,群贤道九號,21000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_qxdjaaima/#around
玄武路与太华路十字向西100米路北,万科大明宫,18000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wkdmglyaacro/#around
渭阳路和西高路交汇处东南角,嘉园蓝湖九郡,8200 元/平(均价),http://xa.fang.lianjia.com/loupan/p_aajfz/#around
尚苑路与朱宏路交汇处西南角,星雨华府,8400 元/平(均价),http://xa.fang.lianjia.com/loupan/p_xyhfaaduq/#around
东二环与北二环交汇处东南角,万科金域东郡,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wkjydjaaadl/#around
金桥三路与浐河东路东南角（桃花潭公园东60米）,桃源漫步,24000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_tymbaaqua/#around
玄武路与太华路十字向西100米路北,万科大明宫,18000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wkdmglyaacro/#around
大明宫国家遗址公园东南侧，太华路与自强东路交汇处城墙东北角,白桦林明天,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_bhlmtaabwh/#around
地铁1号线半坡站地铁口（堡子村转盘西北角）,辰宇世纪城,13000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_aajki/#around
广场北路与西部大道交汇处西南角,明威橡树湾,15000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_mwxswaacaj/#around
雁翔路与黄渠头路十字交汇向东200米,万科东方传奇,12700 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wkdfcqaahle/#around
大明宫国家遗址公园东南侧，太华路与自强东路交汇处城墙东北角,白桦林明天,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_bhlmtaabwh/#around
子午大道与樱花二路交汇处西南角,合能公馆,11500 元/平(均价),http://xa.fang.lianjia.com/loupan/p_aajsh/#around
高陵泾河工业园昭慧广场旁50米,维也纳森林,5000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_wynslaalqr/#around
尚稷路与尚宏路交汇处,恒大国际城,9452 元/平(均价),http://xa.fang.lianjia.com/loupan/p_hdgjcaayrf/#around
尚宏路与尚林路交汇处向西100米,中南紫云集,13000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_znzyjafmeh/#around
寒窑路与新开门路交汇处,曲江诸子阶,15910 元/平(均价),http://xa.fang.lianjia.com/loupan/p_aajwv/#around
秦汉大道中段,隆基泰和铂悦山,8000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_jthbysafmlk/#around
含光北路23号,长安壹品,14960 元/平(均价),http://xa.fang.lianjia.com/loupan/p_caypaayfn/#around
灞桥生态湿地公园内柳新路与柳雪路交汇处（铁一中滨河学校东）,绿城新兴玉园,13000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_lcxxyyafror/#around
明光路与凤城九路交会处西南角,白桦林间,20000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_bhljaadam/#around
南三环与芙蓉西路十字东南角,中海凯旋门,14500 元/平(均价),http://xa.fang.lianjia.com/loupan/p_aajlt/#around
曲江大道路东（曲江二小西侧）,中国铁建万科翡翠国际峰荟,9000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_zgtjkfcgjaarfc/#around
三桥新街地铁一号线B出口向西400米,华润二十四城,9100 元/平(均价),http://xa.fang.lianjia.com/loupan/p_hresscaacwg/#around
太华北路与凤城二路十字东侧万达广场旁,金科天籁城,12000 元/平(均价),http://xa.fang.lianjia.com/loupan/p_jktlcaahlo/#around
